Eneborg, 745000  , 19867 ,1,37.5, 3297 
Slottsstaden, 3700000  , 40929 ,3,90.4, 4168 
Limhamn, 1895000  , 35755 ,2,53, 3576 
Vollsjö, 1625000  ,NaN,6,180, 958m² tomt 60m² biarea 
Skräddaröd, 2800000  ,NaN,6,153, 1136m² tomt 
Knislinge - Väster, 2245000  ,NaN,7,174, 884m² tomt 131m² biarea 
Vasatorps trädgård, 3050000  , 29327 ,4,104, 4892 
not specified, 5750000  , 50000 ,3,115, 5326 
Förslöv, 3300000  ,NaN,6,157, 780m² tomt 8m² biarea 
Osby, 2200000  ,NaN,7,144, 545m² tomt 32m² biarea 
Lund - Centrum, 3600000  , 65455 ,2,55, 2233 
Edvinshem, 2825000  , 28250 ,3,100, 4826 
Bulltofta, 4850000  ,NaN,5,137, 330m² tomt 
Davidshall, 3295000  , 54917 ,2,60, 4138 
Veberöd, 3225000  ,NaN,5,118, 674m² tomt 118m² biarea 
Lomma Strandstad, 5000000  , 56818 ,4,88, 4052 
Bårslöv, 1100000  , 10000 ,5,110, 7482 
Teckomatorp, 3100000  ,NaN,7,158, 856m² tomt 
Husensjö, 890000  , 21707 ,1,41, 3233 
Tågaborg, 3300000  , 30556 ,4,108, 5297 
Ellstorp, 1375000  , 29255 ,2,47, 3677 
Vikhem, 3300000  , 29333 ,5,112.5, 5231 
not specified, 750000  ,NaN,5,106, 2330m² tomt 2m² biarea 
Söderkulla, 1320000  , 21290 ,3,62, 2877 
Lund - Centrum, 6100000  , 59804 ,3,102, 4088 
Nydala, 1450000  , 18354 ,3,79, 4252 
Kulltorp, 2150000  , 21717 ,5,99, 5489 
Rörsjöstaden, 2110000  , 34032 ,2,62, 4141 
Söder, 1325000  , 23043 ,2,57.5, 3152 
City, 2550000  , 35417 ,2,72, 4669 
Rådmansvången, 2300000  , 39655 ,2,58, 4068 
S:t Knut / Möllevången, 3300000  , 41772 ,3,79, 3873 
not specified, 2350000  , 34058 ,2,69, 3754 
Lönngården, 1000000  , 18868 ,2,53, 3555 
Drottningtorget, 5700000  , 45238 ,3,126, 3999 
Pildammarna, 1695000  , 32596 ,2,52, 2481 
Brösarp, 2600000  ,NaN,6,115, 1261m² tomt 140m² biarea 
Stora Slågarp, 3210000  ,NaN,5,134, 805m² tomt 18m² biarea 
Skegrie/Trelleborg, 3975000  ,NaN,4,84, 720m² tomt 80m² biarea 
Nevisborg, 1750000  , 19022 ,3,92, 6233 
Papegojelyckan, 2650000  , 35811 ,3,74, 4723 
Löddeköpinge, 5200000  ,NaN,6,178, 838m² tomt 109m² biarea 
Sjöbo, 3020000  ,NaN,5,122, 674m² tomt 15m² biarea 
Kirseberg, 720000  , 34286 ,1,21, 1397 
Arlöv, 2720000  , 26798 ,4,101.5, 6071 
Oxie, 1900000  , 22353 ,3,85, 4964 
Rinkaby, 1950000  ,NaN,4,101, 1556m² tomt 42m² biarea 
Laröd, 4530000  ,NaN,4,85, 762m² tomt 60m² biarea 
Limhamn, 2800000  , 41791 ,3,67, 3807 
Lorensborg, 1770000  , 34369 ,2,51.5, 2461 
Gula Höja, 1600000  , 19876 ,3,80.5, 4625 
Limhamn, 1750000  , 29167 ,2,60, 4036 
Högalid, 1320000  , 22185 ,2,59.5, 3723 
Klippan Nyslätt, 1920000  ,NaN,6,163, 642m² tomt 18m² biarea 
Granada, 900000  , 15789 ,2,57, 3229 
Gamla Näsby, 800000  , 11348 ,3,70.5, 3916 
Brunnshög, 2595000  , 35548 ,3,73, 4361 
Gamla Väster, 5400000  , 49091 ,4,110, 5720 
Kirseberg, 1325000  , 25728 ,2,51.5, 3900 
Fågelbacken/Slottstaden/Hästhagen, 2025000  , 42188 ,2,48, 3362 
Åstorp, 3000000  ,NaN,7,158, 3098m² tomt 16m² biarea 
Båstad, 5400000  ,NaN,5,137, 1280m² tomt 24m² biarea 
Sjöbo, 550000  , 14474 ,1,38, 3061 
Hyllie, 4000000  , 38462 ,4,104, 5658 
Trädgårdsstaden, 2795000  ,NaN,5,114, 5201 
Hyllie, 2800000  , 42424 ,3,66, 4063 
Helsingborg - Fredriksdal, 950000  , 12025 ,3,79, 5279 
Surbrunnen, 3870000  ,NaN,6,149, 642m² tomt 
Almvik, 1145000  , 13963 ,3,82, 5584 
Vankiva, 4500000  ,NaN,9,240, 40000m² tomt 20m² biarea 
Olympia, 6495000  ,NaN,7,158, 434m² tomt 75m² biarea 
Husensjö, 1295000  , 23545 ,2,55, 4265 
Hyllie, 2500000  , 41667 ,2,60, 2927 
Åhus - Vattentornsområdet, 2955000  ,NaN,5,117, 1057m² tomt 37m² biarea 
Solslätt, 550000  , 7534 ,3,73, 4527 
Trelleborg - Centralt, 1020000  , 19245 ,2,53, 3908 
Limhamns Sjöstad, 2350000  , 34559 ,2,68, 3471 
Klosters Fälad, 2410000  , 24974 ,4,96.5, 5842 
Sjöbo, 1100000  ,NaN,4,114, 869m² tomt 60m² biarea 
Davidshall, 3150000  , 60000 ,2,52.5, 3420 
Västervång, 1725000  , 23630 ,3,73, 3550 
Västra Berga, 1330000  , 15287 ,3,87, 5979 
S:t Knut / Sankt Knut, 2700000  , 46552 ,2,58, 3243 
Borstahusen, 1850000  , 44048 ,1,42, 2347 
Segevång, 1050000  , 16031 ,3,65.5, 3746 
Almhög, 810000  , 14862 ,2,54.5, 3532 
Höllviken, 6500000  ,NaN,6,130, 983m² tomt 188m² biarea 
Finja, 900000  ,NaN,4,116, 1608m² tomt 14m² biarea 
Pildammarna, 2250000  , 28481 ,3,79, 5472 
Osby, 1100000  ,NaN,3,75, 5087m² tomt 
Bjuv, 1310000  ,NaN,4,85, 925m² tomt 20m² biarea 
Högaholm, 1120000  , 17500 ,2,64, 3998 
Norra Fäladen, 3000000  , 27523 ,4,109, 5843 
Brunnshög, 3700000  , 39362 ,4,94, 5750 
Skälderviken, 4995000  ,NaN,5,145, 1003m² tomt 148m² biarea 
Möllevången/Sofiaparken, 3650000  , 36869 ,4,99, 6143 
Östermalm, 1450000  , 22137 ,2,65.5, 3201 
Möllevången, 1500000  , 37500 ,2,40, 3181 
Husie, 845000  , 16900 ,2,50, 4748 
Hyllie, 2700000  , 40909 ,3,66, 4063 
Norr, 4200000  , 54194 ,3,77.5, 3636 
Strandbaden, 5000000  ,NaN,7,172, 825m² tomt 
Kalkbrottet, 3100000  , 37805 ,3,82, 3822 
Lomma - Strandstaden, 5650000  , 54854 ,3,103, 6005 
Östra Torn, 2600000  , 25366 ,4,102.5, 5826 
Klagshamn, 5800000  ,NaN,5,130, 276m² tomt 
Centralt, 2500000  , 33333 ,3,75, 4598 
Husensjö, 1900000  , 23750 ,3,80, 5133 
Kristineberg, 2940000  ,NaN,5,121, 5989 
Kulladal, 6300000  ,NaN,5,121, 937m² tomt 28m² biarea 
Bellevue, 7700000  ,NaN,6,189, 830m² tomt 74m² biarea 
Rinnebäck, 1680000  , 14545 ,4,115.5, 8096 
Ljunghusen, 3495000  , 58938 ,2,59.3, 2855 
not specified, 2500000  ,NaN,9,260, 506m² tomt 105m² biarea 
Söderkulla, 2100000  , 22105 ,4,95, 4804 
Centrum Lund, 1975000  , 39109 ,2,50.5, 2899 
Västra Berga, 1290000  , 21322 ,2,60.5, 4482 
Rådmansvången, 4400000  , 48889 ,3,90, 4424 
Hyllie, 2895000  , 38600 ,3,75, 3995 
Bunkeflostrand, 5600000  ,NaN,4,109, 451m² tomt 
Fågelbacken, 2400000  , 48000 ,2,50, 2389 
Rådmansvången, 2550000  , 43966 ,2,58, 4068 
Landskrona, 735000  , 13364 ,2,55, 4380 
Lomma, 2900000  , 56863 ,2,51, 2931 
HÖGAHOLM, 1240000  , 15215 ,3,81.5, 4229 
Hästhagen, 2150000  , 43000 ,2,50, 3402 
Gamla Viken, 7000000  ,NaN,7,175, 471m² tomt 40m² biarea 
Östra Vram, 1361000  ,NaN,4,110, 1320m² tomt 
Centrum, 3700000  , 46835 ,3,79, 4423 
City, 4300000  , 55844 ,3,77, 4950 
Tygelsjö, 4350000  ,NaN,4,121, 446m² tomt 
Erikslust, 1250000  , 34722 ,1,36, 2847 
Klostergården, 1855000  , 23481 ,3,79, 5055 
Skillinge, 1200000  ,NaN,2,72, 4248 6m² biarea 
Gyllins Trädgård, 2001000  , 23821 ,3,84, 4936 
Väster, 1850000  , 74000 ,1,25, 2171 
