region,price,price per sq mtr,rooms,size,rent
Dammfri,2700000, 33962 ,3.0,79.5, 3896 
Ellstorp,795000, 28393 ,1.0,28.0, 2741 
Slottsstaden,2200000, 37288 ,2.0,59.0, 3431 
Södra Sofielund,1100000, 17915 ,2.0,61.4, 3637 
Ön/Limhamn,2595000, 28207 ,3.0,92.0, 6001 
City,2650000, 34194 ,3.5,77.5, 4743 
Rostorp,965000, 19456 ,2.0,49.6, 1846 
Slottsstaden,2400000, 42857 ,2.0,56.0, 3273 
Limhamn - Ön,4300000, 40187 ,4.0,107.0, 6967 
Fosiedal,1415000, 16358 ,4.0,86.5, 4909 
Bulltofta Friluftsstad,1495000, 27685 ,2.0,54.0, 3413 
Dalaplan/Södervärn,2950000, 27830 ,4.0,106.0, 5601 
Dockan,2450000, 46226 ,2.0,53.0, 3035 
Drottningtorget,2675000, 40530 ,2.0,66.0, 4512 
Limhamn,1900000, 30844 ,2.0,61.6, 2758 
Dockan,4100000, 42708 ,4.0,96.0, 4742 
S:t Knut,3250000, 43919 ,3.0,74.0, 4677 
Rörsjöstaden,3172500, 30071 ,4.0,105.5, 5757 
Möllevången,1295000, 44655 ,1.0,29.0, 2086 
Rörsjöstaden,3350000, 41358 ,3.0,81.0, 4983 
Triangeln,1900000, 44084 ,1.5,43.1, 3132 
Gullvik,2170000,price not specified,5.0,104.0, 5880 
Pildammarna,2425000, 39754 ,2.0,61.0, 3704 
Söderkulla,1350000, 22500 ,2.0,60.0, 3548 
Lönngården,675000, 20455 ,1.0,33.0, 2183 
Söderkulla,1395000, 24261 ,2.0,57.5, 2931 
Högaholm,760000, 15833 ,1.0,48.0, 2940 
Triangeln,2875000, 34226 ,3.0,84.0, 5261 
S:t Knut,3750000, 46875 ,3.5,80.0, 4671 
Västra Hamnen,3525000, 42988 ,3.0,82.0, 4793 
Dockan,4000000, 52632 ,3.0,76.0, 4203 
Rörsjöstaden,2050000, 38606 ,2.0,53.1, 2918 
Dammfri,2100000, 39623 ,2.0,53.0, 2646 
Husie,2020000, 33115 ,3.0,61.0, 3121 
Rosengård,660000, 11092 ,2.0,59.5, 3850 
Oxie,1780000,price not specified,4.0,103.0, 5380 
Sofielund,1590000, 31800 ,2.0,50.0, 3112 
Dammfri,1900000, 33333 ,2.0,57.0, 3500 
Rörsjöstaden,2100000, 34426 ,2.0,61.0, 3247 
Håkanstorp,1650000, 20860 ,2.0,79.1, 4745 
Segevång,1220000, 20855 ,2.0,58.5, 3336 
Kirseberg,1300000, 25000 ,2.0,52.0, 3710 
Davidshall,4895000, 61188 ,2.5,80.0, 4712 
Nydala,975000, 14338 ,3.0,68.0, 3774 
Rosengård,820000, 10314 ,3.0,79.5, 5056 
Limhamns Sjöstad,3695000, 40383 ,4.0,91.5, 4850 
Kroksbäck,1120000, 13099 ,3.0,85.5, 4750 
Limhamn Ön,3900000, 39000 ,3.0,100.0, 5322 
Ribersborg,2800000, 43750 ,2.0,64.0, 3645 
Davidshall,2850000, 59375 ,2.0,48.0, 3160 
Gamla Staden,4350000, 36402 ,4.0,119.5, 6586 
Rörsjöstaden,3750000, 36408 ,4.0,103.0, 6625 
Rörsjöstaden,2400000, 22857 ,3.0,105.0, 6843 
Västra Hamnen,2795000, 39366 ,3.0,71.0, 4376 
Bunkeflostrand,2700000, 31765 ,4.0,85.0, 4769 
City,3550000, 44937 ,3.0,79.0, 2466 
Ribersborg,5350000, 35667 ,5.5,150.0, 7335 
Söderkulla,1100000, 18333 ,2.0,60.0, 3823 
Slottsstaden,2800000, 35443 ,3.0,79.0, 4578 
Fågelbacken,1720000, 26875 ,2.0,64.0, 4040 
Rörsjöstaden,1625000, 39634 ,1.5,41.0, 2583 
Ribersborg,2250000, 44057 ,2.0,51.1, 3081 
Slussen,2820000, 28200 ,4.0,100.0, 5658 
Dammfri,1800000, 32432 ,2.0,55.5, 2424 
Drottningtorget,4770000, 45865 ,4.0,104.0, 7109 
Pildammarna,2200000, 37931 ,2.0,58.0, 3560 
Västra Hamnen,2715000, 50278 ,2.0,54.0, 2870 
Slottsstaden/Ribersborg,3900000, 37143 ,4.0,105.0, 6121 
Östra Sorgenfri,1010000, 19804 ,2.0,51.0, 3161 
Rörsjöstaden,3050000, 42958 ,3.0,71.0, 4245 
Håkanstorp,1450000, 21014 ,3.0,69.0, 4906 
Ribersborg,2800000, 37838 ,3.0,74.0, 4567 
Hästhagen,1750000, 38043 ,2.0,46.0, 3457 
Rörsjöstaden,5050000, 42797 ,4.0,118.0, 6600 
Söderkulla,1600000, 15385 ,4.0,104.0, 5348 
Västra Hamnen,4100000, 44565 ,4.0,92.0, 5183 
Västra Hamnen,3675000, 57422 ,2.0,64.0, 3670 
Nobeltorget,1395000, 32217 ,1.5,43.3, 2225 
Rörsjöstaden,2315000, 18669 ,5.0,124.0, 8185 
Västra Sorgenfri,1685000, 33700 ,2.0,50.0, 2132 
