region,price,price per sq mtr,rooms,size,rent
Lund - Centrum,2900000,59184.0,2.0,49.0, 2928 
Ellstorp,1315000,24811.0,2.0,53.0, 3800 
Höganäs,1575000,27632.0,2.0,57.0, 3295 
Dammfri,1135000,45400.0,1.0,25.0, 2115 
Åhus,4490000,28063.0,5.0,160.0, 5523 
Åhus,3630000,30000.0,4.0,121.0, 4276 
Norr - Helsingborg,11100000,55224.0,5.0,201.0, 9442 
Ribersborg,1900000,31148.0,2.0,61.0, 4079 
Åhus,3630000,30000.0,4.0,121.0, 4276 
Åhus,4410000,27563.0,5.0,160.0, 5523 
Almvik,1935000,25800.0,3.0,75.0, 5547 
Centrum,975000,19898.0,2.0,49.0, 4108 
